NameTag ,HashCommit, Date, Project Name, Package Name, Architecture Smell, Cause of the Smell
v4.1.0,78e24b0e237a6870d9b7c4338a3ca6585b2758d4,Mon Feb 26 15:54:57 CET 2018,gsyvideoplayer,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 5.32. All the dependencies among components: from: com.example.gsyvideoplayer to: com.example.gsyvideoplayer.video; from: com.example.gsyvideoplayer to: com.shuyu.gsyvideoplayer.utils; from: com.example.gsyvideoplayer to: com.example.gsyvideoplayer.model; from: com.example.gsyvideoplayer to: com.shuyu.gsyvideoplayer; from: com.example.gsyvideoplayer to: com.example.gsyvideoplayer.view; from: com.example.gsyvideoplayer to: com.example.gsyvideoplayer.utils.floatUtil; from: com.example.gsyvideoplayer to: com.shuyu.gsyvideoplayer.video; from: com.example.gsyvideoplayer to: com.shuyu.gsyvideoplayer.video.base; from: com.example.gsyvideoplayer to: com.example.gsyvideoplayer.adapter; from: com.example.gsyvideoplayer to: com.example.gsyvideoplayer.video.manager; from: com.example.gsyvideoplayer to: com.example.gsyvideoplayer.listener; from: com.example.gsyvideoplayer to: com.shuyu.gsyvideoplayer.builder; from: com.example.gsyvideoplayer to: com.example.gsyvideoplayer.holder; from: com.example.gsyvideoplayer to: com.example.gsyvideoplayer.utils; from: com.example.gsyvideoplayer to: com.example.gsyvideoplayer.effect; from: com.example.gsyvideoplayer to: com.shuyu.gsyvideoplayer.render.view; from: com.example.gsyvideoplayer to: com.shuyu.gsyvideoplayer.render.effect; from: com.example.gsyvideoplayer to: com.example.gsyvideoplayer.fragment; from: com.example.gsyvideoplayer.video to: com.shuyu.gsyvideoplayer.utils; from: com.example.gsyvideoplayer.video to: com.shuyu.gsyvideoplayer.video.base; from: com.example.gsyvideoplayer.video to: com.example.gsyvideoplayer.video.manager; from: com.example.gsyvideoplayer.video to: com.example.gsyvideoplayer.adapter; from: com.example.gsyvideoplayer.video to: com.example.gsyvideoplayer.view; from: com.example.gsyvideoplayer.video to: com.shuyu.gsyvideoplayer; from: com.example.gsyvideoplayer.video to: com.shuyu.gsyvideoplayer.listener; from: com.example.gsyvideoplayer.video to: com.danikula.videocache; from: com.example.gsyvideoplayer.video.manager to: com.shuyu.gsyvideoplayer.utils; from: com.example.gsyvideoplayer.effect to: com.shuyu.gsyvideoplayer.render.view; from: com.example.gsyvideoplayer.utils to: com.shuyu.gsyvideoplayer.utils; from: com.example.gsyvideoplayer.utils to: com.shuyu.gsyvideoplayer.video; from: com.example.gsyvideoplayer.utils to: com.shuyu.gsyvideoplayer.video.base; from: com.example.gsyvideoplayer.utils to: com.example.gsyvideoplayer; from: com.example.gsyvideoplayer.adapter to: com.shuyu.gsyvideoplayer.utils; from: com.example.gsyvideoplayer.adapter to: com.example.gsyvideoplayer.holder; from: com.example.gsyvideoplayer.adapter to: com.example.gsyvideoplayer.video; from: com.example.gsyvideoplayer.adapter to: com.shuyu.gsyvideoplayer.video; from: com.example.gsyvideoplayer.adapter to: com.shuyu.gsyvideoplayer; from: com.example.gsyvideoplayer.holder to: com.shuyu.gsyvideoplayer.utils; from: com.example.gsyvideoplayer.holder to: com.example.gsyvideoplayer.model; from: com.example.gsyvideoplayer.holder to: com.shuyu.gsyvideoplayer.video; from: com.example.gsyvideoplayer.holder to: com.shuyu.gsyvideoplayer.builder; from: com.example.gsyvideoplayer.holder to: com.shuyu.gsyvideoplayer; from: com.example.gsyvideoplayer.fragment to: com.example.gsyvideoplayer.adapter; from: com.example.gsyvideoplayer.fragment to: com.example.gsyvideoplayer.model; from: com.example.gsyvideoplayer.fragment to: com.example.gsyvideoplayer.holder; from: com.example.gsyvideoplayer.fragment to: com.shuyu.gsyvideoplayer; from: com.example.gsyvideoplayer.view to: com.shuyu.gsyvideoplayer.render.view.listener; from: com.example.gsyvideoplayer.view to: com.shuyu.gsyvideoplayer.utils; from: com.example.gsyvideoplayer.view to: com.shuyu.gsyvideoplayer.listener; from: com.example.gsyvideoplayer.view to: com.shuyu.gsyvideoplayer.render.glrender; from: com.example.gsyvideoplayer.view to: com.shuyu.gsyvideoplayer.render.view; from: com.example.gsyvideoplayer.view to: com.shuyu.gsyvideoplayer.render; from: com.example.gsyvideoplayer.view to: com.example.gsyvideoplayer.video; from: tv.danmaku.ijk.media.exo2 to: tv.danmaku.ijk.media.exo2.demo.player; from: tv.danmaku.ijk.media.exo2 to: tv.danmaku.ijk.media.exo2.demo; from: com.danikula.videocache to: com.danikula.videocache.file; from: com.danikula.videocache to: com.danikula.videocache.sourcestorage; from: com.danikula.videocache to: com.danikula.videocache.headers; from: com.danikula.videocache.file to: com.danikula.videocache; from: com.danikula.videocache.sourcestorage to: com.danikula.videocache; from: com.shuyu.gsyvideoplayer.video to: com.shuyu.gsyvideoplayer.render.view; from: com.shuyu.gsyvideoplayer.video to: com.shuyu.gsyvideoplayer.video.base; from: com.shuyu.gsyvideoplayer.video to: com.shuyu.gsyvideoplayer; from: com.shuyu.gsyvideoplayer.video to: com.shuyu.gsyvideoplayer.model; from: com.shuyu.gsyvideoplayer.video to: moe.codeest.enviews; from: com.shuyu.gsyvideoplayer.video to: com.shuyu.gsyvideoplayer.listener; from: com.shuyu.gsyvideoplayer.video to: com.shuyu.gsyvideoplayer.utils; from: com.shuyu.gsyvideoplayer.video.base to: com.shuyu.gsyvideoplayer.listener; from: com.shuyu.gsyvideoplayer.video.base to: com.shuyu.gsyvideoplayer.utils; from: com.shuyu.gsyvideoplayer.video.base to: com.shuyu.gsyvideoplayer.render; from: com.shuyu.gsyvideoplayer.video.base to: com.shuyu.gsyvideoplayer.render.view; from: com.shuyu.gsyvideoplayer.video.base to: com.shuyu.gsyvideoplayer.render.glrender; from: com.shuyu.gsyvideoplayer.video.base to: com.danikula.videocache; from: com.shuyu.gsyvideoplayer.video.base to: com.danikula.videocache.file; from: com.shuyu.gsyvideoplayer.video.base to: com.shuyu.gsyvideoplayer; from: com.shuyu.gsyvideoplayer to: com.shuyu.gsyvideoplayer.utils; from: com.shuyu.gsyvideoplayer to: com.shuyu.gsyvideoplayer.model; from: com.shuyu.gsyvideoplayer to: com.danikula.videocache; from: com.shuyu.gsyvideoplayer to: com.shuyu.gsyvideoplayer.video.base; from: com.shuyu.gsyvideoplayer to: com.shuyu.gsyvideoplayer.listener; from: com.shuyu.gsyvideoplayer to: com.shuyu.gsyvideoplayer.player; from: com.shuyu.gsyvideoplayer to: com.danikula.videocache.file; from: com.shuyu.gsyvideoplayer.render to: com.shuyu.gsyvideoplayer.render.view; from: com.shuyu.gsyvideoplayer.render to: com.shuyu.gsyvideoplayer.render.view.listener; from: com.shuyu.gsyvideoplayer.render to: com.shuyu.gsyvideoplayer.utils; from: com.shuyu.gsyvideoplayer.render to: com.shuyu.gsyvideoplayer.render.glrender; from: com.shuyu.gsyvideoplayer.render to: com.shuyu.gsyvideoplayer.listener; from: com.shuyu.gsyvideoplayer.render.effect to: com.shuyu.gsyvideoplayer.render.view; from: com.shuyu.gsyvideoplayer.render.view.listener to: com.shuyu.gsyvideoplayer.render.glrender; from: com.shuyu.gsyvideoplayer.render.view to: com.shuyu.gsyvideoplayer.render.view.listener; from: com.shuyu.gsyvideoplayer.render.view to: com.shuyu.gsyvideoplayer.utils; from: com.shuyu.gsyvideoplayer.render.view to: com.shuyu.gsyvideoplayer.listener; from: com.shuyu.gsyvideoplayer.render.view to: com.shuyu.gsyvideoplayer.render.glrender; from: com.shuyu.gsyvideoplayer.render.view to: com.shuyu.gsyvideoplayer.render; from: com.shuyu.gsyvideoplayer.render.glrender to: com.shuyu.gsyvideoplayer.listener; from: com.shuyu.gsyvideoplayer.render.glrender to: com.shuyu.gsyvideoplayer.render.view; from: com.shuyu.gsyvideoplayer.render.glrender to: com.shuyu.gsyvideoplayer.render.view.listener; from: com.shuyu.gsyvideoplayer.render.glrender to: com.shuyu.gsyvideoplayer.utils; from: com.shuyu.gsyvideoplayer.utils to: com.shuyu.gsyvideoplayer.video; from: com.shuyu.gsyvideoplayer.utils to: com.shuyu.gsyvideoplayer.listener; from: com.shuyu.gsyvideoplayer.utils to: com.shuyu.gsyvideoplayer.video.base; from: com.shuyu.gsyvideoplayer.view to: com.shuyu.gsyvideoplayer.video.base; from: com.shuyu.gsyvideoplayer.builder to: com.shuyu.gsyvideoplayer.listener; from: com.shuyu.gsyvideoplayer.builder to: com.shuyu.gsyvideoplayer.render.view; from: com.shuyu.gsyvideoplayer.builder to: com.shuyu.gsyvideoplayer.video; from: com.shuyu.gsyvideoplayer.builder to: com.shuyu.gsyvideoplayer.video.base; from: com.shuyu.gsyvideoplayer.player to: com.shuyu.gsyvideoplayer.utils; from: com.shuyu.gsyvideoplayer.player to: tv.danmaku.ijk.media.exo2; from: com.shuyu.gsyvideoplayer.player to: com.shuyu.gsyvideoplayer.model.
v4.1.0,78e24b0e237a6870d9b7c4338a3ca6585b2758d4,Mon Feb 26 15:54:57 CET 2018,gsyvideoplayer,com.example.gsyvideoplayer,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.example.gsyvideoplayer; com.example.gsyvideoplayer.utils
v4.1.0,78e24b0e237a6870d9b7c4338a3ca6585b2758d4,Mon Feb 26 15:54:57 CET 2018,gsyvideoplayer,com.example.gsyvideoplayer,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [PlayActivity]; [WindowActivity]; [DetailADPlayer2]; [ListMultiVideoActivity]; [ScrollingActivity]; [RecyclerView2Activity]; [DetailControlActivity]; [DetailFilterActivity; TaskLocal2; TaskLocal]; [ListVideoActivity]; [ListVideo2Activity]; [DanmkuVideoActivity]; [FragmentVideoActivity]; [DetailListPlayer]; [EmptyActivity]; [MainActivity]; [WebDetailActivity]; [GSYApplication]; [InputUrlDetailActivity]; [DetailPlayer]; [AutoPlayRecyclerViewActivity]; [DetailMoreTypeActivity]; [ListADVideoActivity; ListADNormalAdapter; ViewHolder]; [DetailADPlayer]; [RecyclerViewActivity]; [PlayEmptyControlActivity]; [PlayPickActivity]. LCC (Lack of Component Cohesion) = 0.87
v4.1.0,78e24b0e237a6870d9b7c4338a3ca6585b2758d4,Mon Feb 26 15:54:57 CET 2018,gsyvideoplayer,com.example.gsyvideoplayer.video,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.example.gsyvideoplayer.video; com.example.gsyvideoplayer.adapter
v4.1.0,78e24b0e237a6870d9b7c4338a3ca6585b2758d4,Mon Feb 26 15:54:57 CET 2018,gsyvideoplayer,com.example.gsyvideoplayer.video,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.shuyu.gsyvideoplayer.video.base; com.example.gsyvideoplayer.adapter; com.example.gsyvideoplayer.view
v4.1.0,78e24b0e237a6870d9b7c4338a3ca6585b2758d4,Mon Feb 26 15:54:57 CET 2018,gsyvideoplayer,com.example.gsyvideoplayer.video,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CustomRenderVideoPlayer]; [EmptyControlVideo]; [LandLayoutVideo]; [FloatingVideo; DismissControlViewTimerTask]; [PreViewGSYVideoPlayer]; [MultiSampleVideo; SampleCoverVideo]; [DanmakuVideoPlayer]; [SampleVideo]; [SampleControlVideo]; [SmartPickVideo]. LCC (Lack of Component Cohesion) = 0.83
v4.1.0,78e24b0e237a6870d9b7c4338a3ca6585b2758d4,Mon Feb 26 15:54:57 CET 2018,gsyvideoplayer,com.example.gsyvideoplayer.effect,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [GSYVideoGLViewCustomRender4]; [GSYVideoGLViewCustomRender; BitmapIconEffect]; [GSYVideoGLViewCustomRender2]; [BitmapEffect; GSYVideoGLViewCustomRender3]; [PixelationEffect]. LCC (Lack of Component Cohesion) = 0.71
v4.1.0,78e24b0e237a6870d9b7c4338a3ca6585b2758d4,Mon Feb 26 15:54:57 CET 2018,gsyvideoplayer,com.example.gsyvideoplayer.utils,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.example.gsyvideoplayer.utils; com.example.gsyvideoplayer
v4.1.0,78e24b0e237a6870d9b7c4338a3ca6585b2758d4,Mon Feb 26 15:54:57 CET 2018,gsyvideoplayer,com.example.gsyvideoplayer.utils,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.example.gsyvideoplayer
v4.1.0,78e24b0e237a6870d9b7c4338a3ca6585b2758d4,Mon Feb 26 15:54:57 CET 2018,gsyvideoplayer,com.example.gsyvideoplayer.utils,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CommonUtil; SmallVideoHelper; GSYSmallVideoHelperBuilder]; [ScrollCalculatorHelper; PlayRunnable]; [JumpUtils]; [BiliDanmukuParser; XmlContentHandler]. LCC (Lack of Component Cohesion) = 0.5
v4.1.0,78e24b0e237a6870d9b7c4338a3ca6585b2758d4,Mon Feb 26 15:54:57 CET 2018,gsyvideoplayer,com.example.gsyvideoplayer.adapter,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.example.gsyvideoplayer.adapter; com.example.gsyvideoplayer.video
v4.1.0,78e24b0e237a6870d9b7c4338a3ca6585b2758d4,Mon Feb 26 15:54:57 CET 2018,gsyvideoplayer,com.example.gsyvideoplayer.adapter,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [RecyclerBaseAdapter]; [ListMultiNormalAdapter; ViewHolder; ListVideoAdapter; ListNormalAdapter]; [ViewHolder]; [ViewHolder]; [RecyclerNormalAdapter]; [DanamakuAdapter]. LCC (Lack of Component Cohesion) = 0.67
v4.1.0,78e24b0e237a6870d9b7c4338a3ca6585b2758d4,Mon Feb 26 15:54:57 CET 2018,gsyvideoplayer,com.example.gsyvideoplayer.holder,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.shuyu.gsyvideoplayer.builder
v4.1.0,78e24b0e237a6870d9b7c4338a3ca6585b2758d4,Mon Feb 26 15:54:57 CET 2018,gsyvideoplayer,com.example.gsyvideoplayer.view,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.example.gsyvideoplayer.view; com.example.gsyvideoplayer.video
v4.1.0,78e24b0e237a6870d9b7c4338a3ca6585b2758d4,Mon Feb 26 15:54:57 CET 2018,gsyvideoplayer,com.example.gsyvideoplayer.view,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.shuyu.gsyvideoplayer.render
v4.1.0,78e24b0e237a6870d9b7c4338a3ca6585b2758d4,Mon Feb 26 15:54:57 CET 2018,gsyvideoplayer,com.example.gsyvideoplayer.view,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [LoadingDialog]; [CustomTextureSurface; CustomRenderView]; [ScrollWebView; OnScrollListener]; [FloatPlayerView]; [SwitchVideoTypeDialog; OnListItemClickListener; OnItemClickListener]; [CustomInputDialog; OnButtonClickListener; OnClickListener]. LCC (Lack of Component Cohesion) = 0.5
v4.1.0,78e24b0e237a6870d9b7c4338a3ca6585b2758d4,Mon Feb 26 15:54:57 CET 2018,gsyvideoplayer,com.danikula.videocache,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.danikula.videocache; com.danikula.videocache.file
v4.1.0,78e24b0e237a6870d9b7c4338a3ca6585b2758d4,Mon Feb 26 15:54:57 CET 2018,gsyvideoplayer,com.danikula.videocache.file,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.danikula.videocache.file; com.danikula.videocache
v4.1.0,78e24b0e237a6870d9b7c4338a3ca6585b2758d4,Mon Feb 26 15:54:57 CET 2018,gsyvideoplayer,com.danikula.videocache.file,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.danikula.videocache
v4.1.0,78e24b0e237a6870d9b7c4338a3ca6585b2758d4,Mon Feb 26 15:54:57 CET 2018,gsyvideoplayer,com.danikula.videocache.sourcestorage,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.danikula.videocache.sourcestorage; com.danikula.videocache
v4.1.0,78e24b0e237a6870d9b7c4338a3ca6585b2758d4,Mon Feb 26 15:54:57 CET 2018,gsyvideoplayer,com.danikula.videocache.sourcestorage,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.danikula.videocache
v4.1.0,78e24b0e237a6870d9b7c4338a3ca6585b2758d4,Mon Feb 26 15:54:57 CET 2018,gsyvideoplayer,com.shuyu.gsyvideoplayer.video,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.shuyu.gsyvideoplayer.video; com.shuyu.gsyvideoplayer.utils
v4.1.0,78e24b0e237a6870d9b7c4338a3ca6585b2758d4,Mon Feb 26 15:54:57 CET 2018,gsyvideoplayer,com.shuyu.gsyvideoplayer.video,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.shuyu.gsyvideoplayer.video; com.shuyu.gsyvideoplayer.render.view; com.shuyu.gsyvideoplayer.utils
v4.1.0,78e24b0e237a6870d9b7c4338a3ca6585b2758d4,Mon Feb 26 15:54:57 CET 2018,gsyvideoplayer,com.shuyu.gsyvideoplayer.video,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.shuyu.gsyvideoplayer.video; com.shuyu.gsyvideoplayer.render.view; com.shuyu.gsyvideoplayer.render.glrender; com.shuyu.gsyvideoplayer.utils
v4.1.0,78e24b0e237a6870d9b7c4338a3ca6585b2758d4,Mon Feb 26 15:54:57 CET 2018,gsyvideoplayer,com.shuyu.gsyvideoplayer.video,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.shuyu.gsyvideoplayer.video; com.shuyu.gsyvideoplayer.render.view; com.shuyu.gsyvideoplayer.render.view.listener; com.shuyu.gsyvideoplayer.render.glrender; com.shuyu.gsyvideoplayer.utils
v4.1.0,78e24b0e237a6870d9b7c4338a3ca6585b2758d4,Mon Feb 26 15:54:57 CET 2018,gsyvideoplayer,com.shuyu.gsyvideoplayer.video.base,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.shuyu.gsyvideoplayer.video.base; com.shuyu.gsyvideoplayer.utils
